year,raceName,driverName,constructorName,championshipPosition,championshipPoints,q1,q2,q3,grid,positionOrder,practiceTime
2021,Bahrain Grand Prix,HAM,Mercedes,1,25.0,90.617,90.08500000000001,89.385,2,1,92.617
2021,Bahrain Grand Prix,BOT,Mercedes,3,16.0,91.2,90.186,89.586,3,3,93.2
2021,Emilia Romagna Grand Prix,HAM,Mercedes,1,44.0,74.82300000000001,74.81700000000001,74.411,1,2,76.82300000000001
2021,Emilia Romagna Grand Prix,BOT,Mercedes,5,16.0,74.672,74.905,74.898,8,18,76.672
2021,Portuguese Grand Prix,HAM,Mercedes,1,69.0,78.857,77.968,78.355,2,1,80.857
2021,Portuguese Grand Prix,BOT,Mercedes,4,32.0,78.72200000000001,78.458,78.348,1,3,80.72200000000001
2021,Spanish Grand Prix,HAM,Mercedes,1,94.0,78.245,77.166,76.741,1,1,80.245
2021,Spanish Grand Prix,BOT,Mercedes,3,47.0,78.005,77.142,76.873,3,3,80.005
2021,Monaco Grand Prix,HAM,Mercedes,2,101.0,71.622,71.116,71.095,7,7,73.622
2021,Monaco Grand Prix,BOT,Mercedes,4,47.0,70.938,70.695,70.601,3,19,72.938
2021,Azerbaijan Grand Prix,HAM,Mercedes,2,101.0,101.545,101.634,101.45,2,15,103.545
2021,Azerbaijan Grand Prix,BOT,Mercedes,6,47.0,102.701,102.106,102.65899999999999,10,12,104.701
2021,French Grand Prix,HAM,Mercedes,2,119.0,91.237,90.788,90.248,2,2,93.237
2021,French Grand Prix,BOT,Mercedes,5,59.0,91.669,90.735,90.376,3,4,93.669
2021,Styrian Grand Prix,HAM,Mercedes,2,138.0,64.672,64.512,64.06700000000001,2,2,66.672
2021,Styrian Grand Prix,BOT,Mercedes,5,74.0,64.537,64.443,64.035,5,3,66.537
2021,Austrian Grand Prix,HAM,Mercedes,2,150.0,64.506,64.258,64.014,4,4,66.506
2021,Austrian Grand Prix,BOT,Mercedes,5,92.0,64.563,64.376,64.049,5,2,66.563
2021,British Grand Prix,HAM,Mercedes,2,177.0,86.786,86.023,86.134,2,1,88.786
2021,British Grand Prix,BOT,Mercedes,4,108.0,87.487,86.764,86.328,3,3,89.487
2021,Hungarian Grand Prix,HAM,Mercedes,1,195.0,76.424,76.553,75.419,1,2,78.424
2021,Hungarian Grand Prix,BOT,Mercedes,4,108.0,76.569,76.702,75.734,2,16,78.569
2021,Belgian Grand Prix,HAM,Mercedes,1,202.5,119.218,116.229,120.099,3,3,121.218
2021,Belgian Grand Prix,BOT,Mercedes,4,108.0,119.87,116.295,122.502,13,12,121.87
2021,Dutch Grand Prix,HAM,Mercedes,2,221.5,70.114,69.726,68.923,2,2,72.114
2021,Dutch Grand Prix,BOT,Mercedes,3,123.0,70.219,69.769,69.222,3,3,72.219
2021,Italian Grand Prix,HAM,Mercedes,2,221.5,80.543,79.936,79.651,4,17,82.543
2021,Italian Grand Prix,BOT,Mercedes,3,141.0,80.685,80.032,79.555,19,3,82.685
2021,Russian Grand Prix,HAM,Mercedes,1,246.5,105.99199999999999,105.12899999999999,104.05,4,1,107.99199999999999
2021,Russian Grand Prix,BOT,Mercedes,3,151.0,106.396,105.306,104.71000000000001,16,5,108.396
2021,Turkish Grand Prix,HAM,Mercedes,2,256.5,84.58500000000001,83.082,82.868,11,5,86.58500000000001
2021,Turkish Grand Prix,BOT,Mercedes,3,177.0,85.047,83.57900000000001,82.998,1,1,87.047
2021,United States Grand Prix,HAM,Mercedes,2,275.5,94.57900000000001,93.797,93.119,2,2,96.57900000000001
2021,United States Grand Prix,BOT,Mercedes,3,185.0,94.59,93.959,93.475,9,6,96.59
2021,Mexico City Grand Prix,HAM,Mercedes,2,293.5,77.207,76.474,76.02,2,2,79.207
2021,Mexico City Grand Prix,BOT,Mercedes,3,185.0,76.727,76.864,75.875,1,15,78.727
2021,São Paulo Grand Prix,HAM,Mercedes,2,318.5,68.733,68.068,67.934,10,1,70.733
2021,São Paulo Grand Prix,BOT,Mercedes,3,203.0,69.03999999999999,68.426,68.469,1,3,71.03999999999999
2021,Qatar Grand Prix,HAM,Mercedes,2,343.5,81.901,81.682,80.827,1,1,83.901
2021,Qatar Grand Prix,BOT,Mercedes,3,203.0,82.01599999999999,81.991,81.47800000000001,6,20,84.01599999999999
2021,Saudi Arabian Grand Prix,HAM,Mercedes,2,369.5,88.46600000000001,87.712,87.511,1,1,90.46600000000001
2021,Saudi Arabian Grand Prix,BOT,Mercedes,3,218.0,88.057,88.054,87.622,2,3,90.057
2021,Abu Dhabi Grand Prix,HAM,Mercedes,2,387.5,82.845,83.145,82.48,2,2,84.845
2021,Abu Dhabi Grand Prix,BOT,Mercedes,3,226.0,83.117,83.246,83.036,6,6,85.117
2022,Bahrain Grand Prix,HAM,Mercedes,3,15.0,92.285,91.048,91.238,5,3,94.285
2022,Bahrain Grand Prix,RUS,Mercedes,4,12.0,92.269,91.252,92.21600000000001,9,4,94.269
2022,Saudi Arabian Grand Prix,HAM,Mercedes,5,16.0,90.343,-1.0,-1.0,15,10,92.343
2022,Saudi Arabian Grand Prix,RUS,Mercedes,4,22.0,89.68,89.618,89.104,6,5,91.68
2022,Australian Grand Prix,HAM,Mercedes,5,28.0,79.401,79.106,78.825,5,4,81.401
2022,Australian Grand Prix,RUS,Mercedes,2,37.0,79.405,79.076,78.93299999999999,6,3,81.405
2022,Emilia Romagna Grand Prix,HAM,Mercedes,7,28.0,80.47,81.138,-1.0,14,13,82.47
2022,Emilia Romagna Grand Prix,RUS,Mercedes,4,49.0,80.383,80.757,-1.0,11,4,82.383
2022,Miami Grand Prix,HAM,Mercedes,6,36.0,90.388,89.797,89.625,6,6,92.388
2022,Miami Grand Prix,RUS,Mercedes,4,59.0,90.49,90.173,-1.0,12,5,92.49
2022,Spanish Grand Prix,HAM,Mercedes,6,46.0,80.252,79.794,79.512,6,5,82.252
2022,Spanish Grand Prix,RUS,Mercedes,4,74.0,80.218,79.47,79.393,4,3,82.218
2022,Monaco Grand Prix,HAM,Mercedes,6,50.0,73.444,72.595,72.56,8,8,75.444
2022,Monaco Grand Prix,RUS,Mercedes,4,84.0,72.787,72.617,72.112,6,5,74.787
2022,Azerbaijan Grand Prix,HAM,Mercedes,6,62.0,103.939,103.182,102.924,7,4,105.939
2022,Azerbaijan Grand Prix,RUS,Mercedes,4,99.0,103.75399999999999,103.281,102.712,5,3,105.75399999999999
2022,Canadian Grand Prix,HAM,Mercedes,6,77.0,93.84100000000001,85.543,82.89099999999999,4,3,95.84100000000001
2022,Canadian Grand Prix,RUS,Mercedes,4,111.0,93.16,84.95,83.557,8,4,95.16
2022,British Grand Prix,HAM,Mercedes,6,93.0,100.428,101.062,101.995,5,3,102.428
2022,British Grand Prix,RUS,Mercedes,5,111.0,100.02799999999999,101.725,102.161,8,18,102.02799999999999
2022,Austrian Grand Prix,HAM,Mercedes,6,109.0,66.079,65.475,73.151,8,3,68.079
2022,Austrian Grand Prix,RUS,Mercedes,5,128.0,66.235,65.697,65.431,4,4,68.235
2022,French Grand Prix,HAM,Mercedes,6,127.0,93.041,92.274,91.765,4,2,95.041
2022,French Grand Prix,RUS,Mercedes,5,143.0,93.10900000000001,92.63300000000001,92.131,6,3,95.10900000000001
2022,Hungarian Grand Prix,HAM,Mercedes,6,146.0,78.374,78.035,78.142,7,2,80.374
2022,Hungarian Grand Prix,RUS,Mercedes,4,158.0,78.407,78.154,77.377,1,3,80.407
2022,Belgian Grand Prix,HAM,Mercedes,6,146.0,105.73599999999999,105.42,105.503,4,20,107.73599999999999
2022,Belgian Grand Prix,RUS,Mercedes,5,170.0,105.65,105.461,105.77600000000001,5,4,107.65
2022,Dutch Grand Prix,HAM,Mercedes,6,158.0,71.331,71.075,70.648,4,4,73.331
2022,Dutch Grand Prix,RUS,Mercedes,4,188.0,71.561,70.824,71.147,6,2,73.561
2022,Italian Grand Prix,HAM,Mercedes,6,168.0,82.048,81.708,81.524,19,5,84.048
2022,Italian Grand Prix,RUS,Mercedes,4,203.0,81.785,81.747,81.542,2,3,83.785
